program_name,variant_type,op_count_or_size,poly_modulus_degree,coeff_modulus_size_bits,plain_modulus_bit_size,coeff_modulus_prime_bits_csv,depth,mul_depth,ct_ct_muls,relinearizations,rotations,ct_ct_adds,pl_ct_muls,pl_ct_adds,median_execution_time_us
rotate,scalar,1,4096,90,18,"30,30,30",1,0,0,0,1,0,0,0,1370
rotate,scalar,10,4096,90,18,"30,30,30",10,0,0,0,10,0,0,0,12445
rotate,scalar,50,4096,90,18,"30,30,30",50,0,0,0,50,0,0,0,61690
rotate,scalar,80,4096,90,18,"30,30,30",80,0,0,0,80,0,0,0,98820
rotate,scalar,100,4096,90,18,"30,30,30",100,0,0,0,100,0,0,0,123415
rotate,scalar,250,4096,90,18,"30,30,30",250,0,0,0,250,0,0,0,308221
rotate,scalar,500,4096,90,18,"30,30,30",500,0,0,0,500,0,0,0,616500
rotate,scalarconda,750,4096,90,18,"30,30,30",750,0,0,0,750,0,0,0,924580
rotate,scalar,1000,4096,90,18,"30,30,30",1000,0,0,0,1000,0,0,0,1232621
rotate,scalar,1,4096,90,20,"30,30,30",1,0,0,0,1,0,0,0,1375
rotate,scalar,10,4096,90,20,"30,30,30",10,0,0,0,10,0,0,0,12441
rotate,scalar,50,4096,90,20,"30,30,30",50,0,0,0,50,0,0,0,61867
rotate,scalar,80,4096,90,20,"30,30,30",80,0,0,0,80,0,0,0,98801
rotate,scalar,100,4096,90,20,"30,30,30",100,0,0,0,100,0,0,0,123392
rotate,scalar,250,4096,90,20,"30,30,30",250,0,0,0,250,0,0,0,308262
rotate,scalar,500,4096,90,20,"30,30,30",500,0,0,0,500,0,0,0,616509
rotate,scalar,750,4096,90,20,"30,30,30",750,0,0,0,750,0,0,0,924689
rotate,scalar,1000,4096,90,20,"30,30,30",1000,0,0,0,1000,0,0,0,1232637
rotate,scalar,1,4096,90,25,"30,30,30",1,0,0,0,1,0,0,0,1373
rotate,scalar,10,4096,90,25,"30,30,30",10,0,0,0,10,0,0,0,12458
rotate,scalar,50,4096,90,25,"30,30,30",50,0,0,0,50,0,0,0,61742
rotate,scalar,80,4096,90,25,"30,30,30",80,0,0,0,80,0,0,0,98862
rotate,scalar,100,4096,90,25,"30,30,30",100,0,0,0,100,0,0,0,123497
rotate,scalar,250,4096,90,25,"30,30,30",250,0,0,0,250,0,0,0,308646
rotate,scalar,500,4096,90,25,"30,30,30",500,0,0,0,500,0,0,0,616850
rotate,scalar,750,4096,90,25,"30,30,30",750,0,0,0,750,0,0,0,924603
rotate,scalar,1000,4096,90,25,"30,30,30",1000,0,0,0,1000,0,0,0,1232288
rotate,scalar,1,8192,130,18,"40,30,30,30",1,0,0,0,1,0,0,0,4554
