benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time( ms ),execution_time (ms)
hamming_dist_4,8,4,4,0,0,8,7,2,0.672982,74.1865
hamming_dist_8,16,8,8,0,0,16,11,2,0.992895,142.544
hamming_dist_16,32,16,16,0,0,32,19,2,1.91553,278.491
poly_reg_4,12,0,0,0,0,12,5,2,0.750256,260.249
poly_reg_8,24,0,0,0,0,24,5,2,1.45448,433.172
poly_reg_16,48,0,0,0,0,48,5,2,2.71326,928.589
lin_reg_4,8,0,4,0,0,4,3,1,0.528692,3.22915
lin_reg_8,16,0,8,0,0,8,3,1,0.81564,6.29324
lin_reg_16,32,0,16,0,0,16,3,1,1.35561,12.825
l2_distance_4,3,4,0,0,0,4,5,1,0.546262,85.2993
l2_distance_8,7,8,0,0,0,8,9,1,0.798037,139.889
l2_distance_16,15,16,0,0,0,16,17,1,1.26274,296.587
dot_product_4,4,0,0,0,0,4,5,1,0.491052,74.1684
dot_product_8,8,0,0,0,0,8,9,1,0.683871,142.62
dot_product_16,16,0,0,0,0,16,17,1,1.12139,299.353
box_blur_4,74,0,0,0,0,0,9,0,1.50465,12.7158
box_blur_8,426,0,0,0,0,0,9,0,7.3555,53.5998
box_blur_16,1994,0,0,0,0,0,9,0,33.1949,248.377
matrix_mul_4,48,0,0,0,0,64,4,1,3.68096,1085.12
matrix_mul_8,448,0,0,0,0,512,8,1,18.3685,10665.9
matrix_mul_16,3840,0,0,0,0,4096,16,1,272.308,86945.7
gx_kernel_4,56,0,32,0,0,32,7,1,1.83707,21.0096
gx_kernel_8,300,0,128,0,0,128,7,1,9.61331,103.441
gx_kernel_16,1364,0,512,0,0,512,7,1,42.4468,298.898
gy_kernel_4,60,0,48,0,0,48,7,1,2.6564,20.3184
gy_kernel_8,308,0,224,0,0,224,7,1,11.8533,89.8692
gy_kernel_16,1380,0,960,0,0,960,7,1,47.7189,349.049
sobel_4,125,0,60,0,0,92,9,2,4.99847,567.28
sobel_8,629,0,252,0,0,380,9,2,22.3494,2392.58
sobel_16,2789,0,1020,0,0,1532,9,2,109.916,9074.03 
sort_4,8,0,0,0,3,10,8,3,0.834744,173.112
max_4,20,0,0,0,10,20,10,4,1.82167,382.513
