benchmark,add,sub,multiply_plain,rotate_rows,square,multiply,Depth,Multplicative Depth,compile_time( ms ),execution_time (ms)
dot_product_4,7,0,6,7,0,7,8,2,185,61
dot_product_8,8,0,6,8,0,7,10,2,173,74
dot_product_16,22,0,18,22,0,19,13,2,280,162
dot_product_32,23,0,18,23,0,19,15,2,1571,185
l2_distance_4,7,1,6,7,0,7,9,2,183,61
l2_distance_8,8,1,6,8,0,7,11,2,259,75
l2_distance_16,22,1,18,22,0,19,14,2,680,161
l2_distance_32,23,1,18,23,0,19,16,2,8727,185
lin_reg_4,2,0,3,0,0,3,4,2,168,12
lin_reg_8,2,0,3,0,0,3,4,2,168,12
lin_reg_16,2,0,3,0,0,3,4,2,215,12
lin_reg_32,2,0,3,0,0,3,4,2,200,12
poly_reg_4,3,0,5,0,0,7,6,3,220,80
poly_reg_8,3,0,5,0,0,7,6,3,214,80
poly_reg_16,3,0,5,0,0,7,6,3,319,81
poly_reg_32,3,0,5,0,0,7,6,3,740,81
hamming_dist_4,17,2,14,14,0,17,13,3,310,239
hamming_dist_8,19,2,14,16,0,17,14,3,1326,278
hamming_dist_16,44,2,38,37,0,41,18,3,10590,541
hamming_dist_32,46,2,38,43,0,41,19,3,14057,657
box_blur_4,34,0,31,13,0,31,10,1,417,87
box_blur_8,34,0,31,13,0,31,10,1,1047,88
box_blur_16,34,0,31,13,0,31,10,1,7831,89
box_blur_32,34,0,31,13,0,31,10,1,10011,93
gx_kernel_4,14,1,12,6,0,13,9,2,427,106
gx_kernel_8,14,1,12,6,0,13,9,2,4235,106
gx_kernel_16,14,1,12,6,0,13,9,2,12368,105
gx_kernel_32,14,1,12,6,0,13,9,2,15747,107
gy_kernel_4,28,2,21,6,0,25,9,2,400,199
gy_kernel_8,28,2,21,6,0,25,9,2,4260,199
gy_kernel_16,28,2,21,6,0,25,9,2,12460,199
roberts_cross_4,10,3,7,3,0,9,7,2,419,98
roberts_cross_8,10,3,7,3,0,9,7,2,1243,97
roberts_cross_16,10,3,7,3,0,9,7,2,11157,98
matrix_mul_4,29,0,28,29,0,29,10,2,266,230
matrix_mul_8,114,0,112,126,0,113,17,2,10497,690
matrix_mul_16,452,0,448,496,0,449,22,2,27464,2639
