run_id,target_line,run_number,depth_max,xdepth_max,mul_total,relin_total,mod_switch_total,he_add_total,rotate_total,rotation_keys,relin_keys,execution_time_ms,noise,llm_benchmark_compile_time_ms
1,3448,1,10,3,9,9,9,9,9,1,1,286.816,42,1045.14
2,3448,2,10,3,9,9,9,9,9,1,1,286.421,41,748.795
3,3448,3,10,3,9,9,9,9,9,1,1,286.636,42,744.865
4,3449,1,9,3,9,9,9,9,9,2,1,286.266,42,258.015
5,3449,2,9,3,9,9,9,9,9,2,1,286.522,42,252.485
6,3449,3,9,3,9,9,9,9,9,2,1,286.374,42,251.718
7,3450,1,9,2,30,30,30,30,30,0,1,286.431,42,402.892
8,3450,2,9,2,30,30,30,30,30,0,1,286.082,41,414.607
9,3450,3,9,2,30,30,30,30,30,0,1,286.225,42,400.014
10,3451,1,6,1,24,24,24,24,24,0,1,286.3,41,144.044
11,3451,2,6,1,24,24,24,24,24,0,1,286.063,41,148.658
12,3451,3,6,1,24,24,24,24,24,0,1,286.531,42,146.15
13,3452,1,9,3,8,8,8,8,8,0,1,286.132,41,7445.42
14,3452,2,9,3,8,8,8,8,8,0,1,285.744,42,7409.93
15,3452,3,9,3,8,8,8,8,8,0,1,285.712,42,7380.25
16,3453,1,7,3,11,11,11,11,11,1,1,286.691,42,165.068
17,3453,2,7,3,12,12,12,12,12,1,1,286.314,41,169.716
18,3453,3,7,3,12,12,12,12,12,1,1,286.526,42,180.239
19,3454,1,4,1,3,3,3,3,3,1,1,285.77,42,140.776
20,3454,2,4,1,3,3,3,3,3,1,1,286.16,42,145.362
21,3454,3,4,1,3,3,3,3,3,1,1,286.128,42,139.945
22,3455,1,5,2,10,10,10,10,10,0,1,287.081,42,151.718
23,3455,2,5,2,10,10,10,10,10,0,1,286.556,42,153.13
24,3455,3,5,2,10,10,10,10,10,0,1,286.741,42,154.674
25,3456,1,8,3,4,4,4,4,4,1,1,286.647,41,207.747
26,3456,2,8,3,4,4,4,4,4,1,1,285.671,42,207.953
27,3456,3,8,3,4,4,4,4,4,1,1,286.619,42,204.41
28,3457,1,3,1,3,3,3,3,3,0,1,286.355,42,145.5
29,3457,2,3,1,3,3,3,3,3,0,1,286.781,42,144.906
30,3457,3,3,1,3,3,3,3,3,0,1,285.915,42,144.23
31,3458,1,4,2,4,4,4,4,4,0,1,285.641,41,149.246
