run_id,target_line,run_number,depth_max,xdepth_max,mul_total,relin_total,mod_switch_total,he_add_total,rotate_total,rotation_keys,relin_keys,execution_time_ms,noise,llm_benchmark_compile_time_ms
1,1,1,4,1,3,3,3,3,3,1,1,288.843,42,187.676
2,1,2,4,1,3,3,3,3,3,1,1,287.986,41,184.579
3,1,3,4,1,3,3,3,3,3,1,1,287.653,41,184.854
4,2,1,6,3,14,14,14,14,14,0,1,287.54,41,202.7
5,2,2,6,3,14,14,14,14,14,0,1,287.606,42,202.207
6,2,3,6,3,14,14,14,14,14,0,1,287.137,41,201.881
7,3,1,3,1,3,3,3,3,3,0,1,287.327,42,169.544
8,3,2,3,1,3,3,3,3,3,0,1,287.556,42,173.194
9,3,3,3,1,3,3,3,3,3,0,1,287.201,41,172.558
10,4,1,7,1,22,22,22,22,22,0,1,287.29,42,178.629
11,4,2,7,1,22,22,22,22,22,0,1,287.3,41,157.941
12,4,3,7,1,22,22,22,22,22,0,1,287.641,42,170.628
13,5,1,6,2,3,3,3,3,3,1,1,287.573,42,501.003
14,5,2,6,2,3,3,3,3,3,1,1,288.113,42,513.392
15,5,3,6,2,3,3,3,3,3,1,1,287.448,41,509.823
16,6,1,3,1,3,3,3,3,3,0,1,287.144,41,156.911
17,6,2,3,1,3,3,3,3,3,0,1,287.174,41,156.888
18,6,3,3,1,3,3,3,3,3,0,1,286.838,42,158.899
19,7,1,6,2,5,5,5,5,5,1,1,287.658,42,150.392
20,7,2,6,2,5,5,5,5,5,1,1,288.03,41,150.223
21,7,3,6,2,5,5,5,5,5,1,1,287.569,41,149.072
22,8,1,4,1,5,5,5,5,5,0,1,287.553,42,163.922
23,8,2,4,1,5,5,5,5,5,0,1,287.679,41,150.241
24,8,3,4,1,5,5,5,5,5,0,1,291.113,41,152.73
25,9,1,6,2,6,6,6,6,6,1,1,289.732,42,167.537
26,9,2,6,2,6,6,6,6,6,1,1,290.154,42,157.905
27,9,3,6,2,6,6,6,6,6,1,1,287.317,42,157.428
28,10,1,6,2,15,15,15,15,15,0,1,286.966,41,240.557
29,10,2,6,2,15,15,15,15,15,0,1,287.565,42,226.555
30,10,3,6,2,15,15,15,15,15,0,1,287.065,42,224.621
31,11,1,3,1,4,4,4,4,4,0,1,289.293,42,157.784
32,11,2,3,1,4,4,4,4,4,0,1,290.098,42,163.593
33,11,3,3,1,4,4,4,4,4,0,1,287.395,42,164.319
34,12,1,6,2,7,7,7,7,7,1,1,287.372,42,271.218
35,12,2,6,2,7,7,7,7,7,1,1,287.055,41,268.942
36,12,3,6,2,7,7,7,7,7,1,1,287.15,42,266.864
37,13,1,5,1,3,3,3,3,3,1,1,290.251,42,149.41
38,13,2,5,1,3,3,3,3,3,1,1,289.424,41,144.409
39,13,3,5,1,3,3,3,3,3,1,1,286.617,42,147.011
40,14,1,2,1,2,2,2,2,2,0,1,287.064,42,169.209
41,14,2,2,1,2,2,2,2,2,0,1,286.838,41,147.374
42,14,3,2,1,2,2,2,2,2,0,1,287.041,42,151.688
43,15,1,13,4,9,9,9,9,9,1,1,289.282,42,48461.2
44,15,2,13,4,9,9,9,9,9,1,1,287.185,42,47866.7
45,15,3,13,4,9,9,9,9,9,1,1,287.17,42,48200.2
46,16,1,4,1,2,2,2,2,2,1,1,287.459,41,180.28
47,16,2,4,1,2,2,2,2,2,1,1,289.845,41,162.216
48,16,3,4,1,2,2,2,2,2,1,1,289.782,42,167.091
